ZoneNumber,ZoneColor,ZoneCat,ZoneNumeri,ZoneDesc,GlobalID,OBJECTID,Shape__Area,Shape__Length
13,Yellow,Definitely Declining,13,"The majority of the residents of this area are Swedish industrial workers of the poorer class. Three-deckers and small single houses in poor to fair state of repair. The American Steel and Wire Company has a rolling mill located in the area, and the Sewage Purifying Works have a detrimental influence, although little obnoxious odor escapes from the plant.",965d2d86-3e79-4a13-b900-364ceac05fe4,1,60512786.2438965,41084.3841763827
15,Red,Hazardous,15,"A concentration of French industrial workers on both sides of the B. & A. Railroad in the neighborhood of Canterbury Street (I-23) and a Polish settlement north of Compton Park as far as Lamartine Street (M-22), and southeastward to Ward Street (N-23). Lithuanians occupy the area down as far as Maxwell Street (M-25). The majority are industrial workers and laborers of the poorer class. Three deckers from 40 to 75 years old predominate. They are in poor condition and mostly without central heating plants. Many other modern conveniences are lacking. A number of similar structures have been razed in this area because of obsolescence. There is a gas production plant and a railroad yard near the center of the area.",64aa3fbd-ca3c-439d-8b55-5b83639098d1,2,34900635.3670654,46874.9109323798
11,Yellow,Definitely Declining,11,"There is a concentration of Swedish industrial workers north and east of the intersection of Belmont Street and Eastern ave. (R-18). Negroes live in a small section around Clayton Street (P-19) and Liberty Street (Q-18). The section along Shrewsbury Street (Q-20) eastward from Mulberry Street (P-20) and including Bloomingdale (U-20) is inhabited by Italian industrial workers and the laboring class. Toward the business district there is a scattering of Syrians and Armenians. There are many three deckers and two family houses in the area from 40 to 50 years in a poor to fair state of repair. Summer cottages and other small single houses predominate along the lake front and in the Lake View section (W-22). Some of these are in the $3,500 to $5,000 class and in fair condition. The railroad yards are located just north and west of Oak Hill (R-22), and it is thought the yards now located in #15 area will be consolidated here.",70f84b8e-9783-47d1-a912-75de4bb19216,3,102863506.640137,84123.905505819
12,Yellow,Definitely Declining,12,"The Union hill section (P-23) is principally inhabited by Jewish people of the poorer class. South of Oak Hill (R-22) between Dartmouth and Grafton Streets is the French section. Much of this section, especially toward the east in the neighborhood of Bedford Avenue and Revere Street (S-24) is low lying land even swampy in some places. The area is mostly composed of the poorer class. There are many old three-deckers built from 30 to 50 years ago, a number of which have no central heating system, and lack other modern conveniences. Small single houses are scattered through the area, many in need of repair.",d8950b07-c3e2-4bf2-b63a-db87be133f03,4,89429315.2296143,55038.1572840127
7,Blue,Still Desirable,7,"There is a concentration of Irish in the western section and of Jewish in the southeastern section of this area. Most occupants of the area belong to the middle class. The newer type of two and three family houses predominates, now renting for $30 to $35 a unit, but formerly these were rented for about $60. The majority of these structures are less than 10 years old, and are in a good state of repair. Vernon Hill playground, about 15 acres in extent, is located on high ground in the center of the area.",15b9a6fa-8312-4e61-b148-3cdf574164a8,5,12787538.7419434,16549.0175184379
4,Blue,Still Desirable,4,"A Swedish concentration in the Greendale area (T-8) extending eastward to Burncoat Street (V-9) and southward to Wildey ave. (S-10). The large Norton Company, manufacturers of grinding machinery and abrasives, is located on New Bond Street (R-8), and although many of these people are employed here, they are skilled artisans and office workers for the most part. Many of the unskilled laborers live in #11 and #13 areas. There are homes here of the one, two, and three family type in fair to good condition. Many dwellings are 20 years old or more, there has been some new home construction in the last 10 years. In 1935, about 10 new single houses were built in the Barnard Road section (S-13), and 2 or 3 in each of the sections around Burncoat Park (T-13) and Clark Street (W-9). These were in the $4,000 to $5,000 class. The Boston and Maine Railroad runs through this area, but it does not have a detrimental influence on property values except for the locations immediately adjacent to the tracks.",9b13af29-1b65-40c6-9bde-6d30bb0f01ef,6,137108910.993652,86483.2927906897
8,Yellow,Definitely Declining,8,"A small sparsely settled section housing some of the poorer class. Cottages and small homes not in good repair. Although beyond the limit of Worcester Street car lines, transportation service by motor coach is available on the Worcester Oakdale line.",c6e92ae1-be1d-4489-b92e-688f194554c4,7,7768510.14367676,12200.4488476869
14,Red,Hazardous,14,"Inhabited by the poorer class. Industrial workers. Cheap tenements in poor condition. Contains a wire mill, Atlantic Refinery storage yards and a foundry.",68a0d793-e8b2-47d0-af63-4ee724b6e494,8,10415354.826416,15020.224828634
6,Blue,Still Desirable,6,"One of the older sections of the city, containing many fine old residences 50 years old or more, but well kept up and still occupied by descendants of the original owners. Some of the better class two family houses are located here, renting from $65 to $80 a floor. Elm Park in the west end is an asset, and the area is convenient to the downtown business section.",d310e70b-dbcd-4b21-b9d2-ce4b5d2ee030,9,11249967.8563232,22502.1711566912
Business,Gray,Business,0,Business district,753eeea1-56a8-433a-959d-bc0fd9161045,10,7805580.23535156,17523.884122768
