"Label (Grouping)","ZCTA5 01604"
"Total:","41,301"
"    Hispanic or Latino","9,070"
"    Not Hispanic or Latino:","32,231"
"        Population of one race:","30,083"
"            White alone","20,257"
"            Black or African American alone","6,233"
"            American Indian and Alaska Native alone","78"
"            Asian alone","2,721"
"            Native Hawaiian and Other Pacific Islander alone","3"
"            Some Other Race alone","791"
"        Population of two or more races:","2,148"
"            Population of two races:","2,037"
"                White; Black or African American","440"
"                White; American Indian and Alaska Native","209"
"                White; Asian","213"
"                White; Native Hawaiian and Other Pacific Islander","6"
"                White; Some Other Race","964"
"                Black or African American; American Indian and Alaska Native","52"
"                Black or African American; Asian","23"
"                Black or African American; Native Hawaiian and Other Pacific Islander","4"
"                Black or African American; Some Other Race","112"
"                American Indian and Alaska Native; Asian","2"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0"
"                American Indian and Alaska Native; Some Other Race","0"
"                Asian; Native Hawaiian and Other Pacific Islander","5"
"                Asian; Some Other Race","4"
"                Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            Population of three races:","100"
"                White; Black or African American; American Indian and Alaska Native","40"
"                White; Black or African American; Asian","11"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander","1"
"                White; Black or African American; Some Other Race","31"
"                White; American Indian and Alaska Native; Asian","5"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0"
"                White; American Indian and Alaska Native; Some Other Race","4"
"                White; Asian; Native Hawaiian and Other Pacific Islander","5"
"                White; Asian; Some Other Race","0"
"                White; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                Black or African American; American Indian and Alaska Native; Asian","0"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0"
"                Black or African American; American Indian and Alaska Native; Some Other Race","1"
"                Black or African American; Asian; Native Hawaiian and Other Pacific Islander","2"
"                Black or African American; Asian; Some Other Race","0"
"                Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"                American Indian and Alaska Native; Asian; Some Other Race","0"
"                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Population of four races:","11"
"                White; Black or African American; American Indian and Alaska Native; Asian","8"
"                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0"
"                White; Black or African American; American Indian and Alaska Native; Some Other Race","2"
"                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","0"
"                White; Black or African American; Asian; Some Other Race","0"
"                White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"                White; American Indian and Alaska Native; Asian; Some Other Race","0"
"                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"                Black or African American; American Indian and Alaska Native; Asian; Some Other Race","0"
"                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Population of five races:","0"
"                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"                White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","0"
"                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Population of six races:","0"
"                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
